Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame	Comments	Fusion_Status
ARID2	0	MSKCC-DMP	P-0005712-T01-IM5	ARID2-intragenic	yes	unknown	NA	unknown	ARID2 (NM_152641) rearrangement: c.4714_c.4922+3493dup The ARID2 (NM_152641) rearrangement is a duplication of ARID2 exons 15 and 16. One of the breakpoints is within exon 15. The functional significance is undetermined.	
TFE3	0	MSKCC-DMP	P-0005177-T01-IM5	NONO-TFE3 fusion	yes	unknown	NA	in frame	NONO (NM_001145409) -TFE3 (NM_006521) fusion (NONO exons 1-8  with  TFE3 exons 6-10):  c.1131+68:NONO_ c.885+401:TFE3inv	
NONO	0	MSKCC-DMP	P-0005177-T01-IM5	NONO-TFE3 fusion	yes	unknown	NA	in frame	NONO (NM_001145409) -TFE3 (NM_006521) fusion (NONO exons 1-8  with  TFE3 exons 6-10):  c.1131+68:NONO_ c.885+401:TFE3inv	
SOCS1	0	MSKCC-DMP	P-0006071-T01-IM5	SOCS1-intragenic	yes	unknown	NA	unknown	SOCS1 (NM_003745) rearrangment : c.-956_-151del Note: The SOCS1 (NM_003745) rearrangment event results in the deletion of SOCS1 exon1 and the promoter region of SOCS1.	
NCOA3	0	MSKCC-DMP	P-0006071-T01-IM5	NCOA3-intragenic	yes	unknown	NA	unknown	NCOA3 (NM_181659) rearrangement : c.2336_3252+1027inv Note: The NCOA3 (NM_181659) rearrangement event results in the inversion of NCOA3 exons 12-17. One of the breakpoints is within NCOA3 exon12.	
EGFR	0	MSKCC-DMP	P-0008166-T01-IM5	EGFR-intragenic	yes	unknown	NA	unknown	EGFR (NM_005228) rearrangement: c.89-13016_c.889+371inv The EGFR (NM_005228) rearrangement is an inversion of exons 2-7. The possibility of a EGFR vIII deletion cannot be excluded.	
BRAF	0	MSKCC-DMP	P-0007861-T01-IM5	AGAP3-BRAF fusion	yes	unknown	NA	in frame	AGAP3 (NM_031946) - BRAF (NM_004333) rearrangement: c.1326+220:AGAP3_c.1141-3313:BRAFinv Note: The AGAP3 (NM_031946) - BRAF (NM_004333) rearrangement is an inversion which results the fusion of AGAP3 exons 1-10 with BRAF exons 9-18, including the kinase domain of BRAF. This fusion has been previously described in colon cancer and melanoma. (PMID: 26314551)	
AGAP3	0	MSKCC-DMP	P-0007861-T01-IM5	AGAP3-BRAF fusion	yes	unknown	NA	in frame	AGAP3 (NM_031946) - BRAF (NM_004333) rearrangement: c.1326+220:AGAP3_c.1141-3313:BRAFinv Note: The AGAP3 (NM_031946) - BRAF (NM_004333) rearrangement is an inversion which results the fusion of AGAP3 exons 1-10 with BRAF exons 9-18, including the kinase domain of BRAF. This fusion has been previously described in colon cancer and melanoma. (PMID: 26314551)	
POLE	0	MSKCC-DMP	P-0005361-T01-IM5	TLL1-POLE fusion	yes	unknown	NA	unknown	TLL1 (NM_012464) - POLE  (NM_006231) Rearrangement :  t(4;12)(4q32.3;12q24.33)(chr4:g.167006080::chr12:g.133202781) Note: The TLL1 (NM_012464) - POLE  (NM_006231) Rearrangement results in the fusion of exons 1 to 18 of TLL1 with exons 46 to 49 of POLE.The breakpoint in POLE is within exon 46. Its functional significance is undetermined.	
TLL1	0	MSKCC-DMP	P-0005361-T01-IM5	TLL1-POLE fusion	yes	unknown	NA	unknown	TLL1 (NM_012464) - POLE  (NM_006231) Rearrangement :  t(4;12)(4q32.3;12q24.33)(chr4:g.167006080::chr12:g.133202781) Note: The TLL1 (NM_012464) - POLE  (NM_006231) Rearrangement results in the fusion of exons 1 to 18 of TLL1 with exons 46 to 49 of POLE.The breakpoint in POLE is within exon 46. Its functional significance is undetermined.	
TACC3	0	MSKCC-DMP	P-0005361-T01-IM5	FGFR3-TACC3 fusion	yes	unknown	NA	unknown	FGFR3 (NM_000142) -TACC3 (NM_006342) Fusion (FGFR3 exon 5 fused to TACC3 exon 14) : c.564:FGFR3_c.2223+249:TACC3dup Note1: FGFR3 - TACC3 fusion is a duplication event that leads to fusion of exon5 of FGFR3 to exon14 of TACC3. This event is not the canonical FGFR3 - TACC3 fusion as the breakpoint in FGFR3 is within exon 5.	
FGFR3	0	MSKCC-DMP	P-0005361-T01-IM5	FGFR3-TACC3 fusion	yes	unknown	NA	unknown	FGFR3 (NM_000142) -TACC3 (NM_006342) Fusion (FGFR3 exon 5 fused to TACC3 exon 14) : c.564:FGFR3_c.2223+249:TACC3dup Note1: FGFR3 - TACC3 fusion is a duplication event that leads to fusion of exon5 of FGFR3 to exon14 of TACC3. This event is not the canonical FGFR3 - TACC3 fusion as the breakpoint in FGFR3 is within exon 5.	
STK11	0	MSKCC-DMP	P-0004759-T01-IM5	STK11-intragenic	yes	unknown	NA	unknown	STK11 (NM_000455) rearrangement : c.862+203_1141del Note: The STK11 (NM_000455) rearrangement event results in the intragenic deletion of STK11 exons 7-9. One of the breakpoints is within exon9.	
TCF3	0	MSKCC-DMP	P-0004759-T01-IM5	TCF3-intragenic	yes	unknown	NA	unknown	TCF3 (NM_001136139) rearrangement : c.500-52_1586+316del Note: The TCF3 (NM_001136139) rearrangement event results in the intragenic deletion of TCF3 exons 7-16.	
MSL3	0	MSKCC-DMP	P-0004759-T01-IM5	RB1-MSL3 fusion	yes	unknown	NA	unknown	RB1 (NM_000321) rearrangement : t(13;X)(13q14.2;Xp22.2)(chr13:g.49047485::chrX:g.11732599) Note: The RB1 (NM_000321) rearrangement event is a reciprocal translocation which results in the truncation of RB1 exons 24-27.	
RB1	0	MSKCC-DMP	P-0004759-T01-IM5	RB1-MSL3 fusion	yes	unknown	NA	unknown	RB1 (NM_000321) rearrangement : t(13;X)(13q14.2;Xp22.2)(chr13:g.49047485::chrX:g.11732599) Note: The RB1 (NM_000321) rearrangement event is a reciprocal translocation which results in the truncation of RB1 exons 24-27.	
RAD51AP2	0	MSKCC-DMP	P-0008785-T01-IM5	ALK-RAD51AP2 fusion	yes	unknown	NA	unknown	ALK (NM_004304) rearrangement: c.3765_chr2:g.17466111inv The ALK (NM_004304) rearrangement is an inversion of exons 25-28 including part of the kinase domain of ALK. One of the breakpoints is within exon25 of ALK.	
ALK	0	MSKCC-DMP	P-0008785-T01-IM5	ALK-RAD51AP2 fusion	yes	unknown	NA	unknown	ALK (NM_004304) rearrangement: c.3765_chr2:g.17466111inv The ALK (NM_004304) rearrangement is an inversion of exons 25-28 including part of the kinase domain of ALK. One of the breakpoints is within exon25 of ALK.	
SLC41A3	0	MSKCC-DMP	P-0004952-T01-IM5	MCL1-SLC41A3 fusion	yes	unknown	NA	unknown	SLC41A3 (NM_001008485) - MCL1 (NM_021960) rearrangement : t(1;3)(1q21.3;3q21.2)(chr1:g.150551707::chr3:g.125736765) Note: SLC41A3 (NM_001008485) - MCL1 (NM_021960) rearrangement event is a translocation which leads to the fusion of SLC41A3 exons 1-6 with MCL1 exons 1-3. One of the breakpoints is within MCL1 exon1.	
MCL1	0	MSKCC-DMP	P-0004952-T01-IM5	MCL1-SLC41A3 fusion	yes	unknown	NA	unknown	SLC41A3 (NM_001008485) - MCL1 (NM_021960) rearrangement : t(1;3)(1q21.3;3q21.2)(chr1:g.150551707::chr3:g.125736765) Note: SLC41A3 (NM_001008485) - MCL1 (NM_021960) rearrangement event is a translocation which leads to the fusion of SLC41A3 exons 1-6 with MCL1 exons 1-3. One of the breakpoints is within MCL1 exon1.	
DOT1L	0	MSKCC-DMP	P-0007771-T01-IM5	LOC284100-DOT1L fusion	yes	unknown	NA	unknown	DOT1L (NM_032482) rearrangement: t(17;19)(q12;p12)(chr17:g.36167655::chr19:g.2228256 ) The DOT1L (NM_032482) rearrangement is a translocation which may result in a truncated  DOT1L. The functional significance is undetermined.	
LOC284100	0	MSKCC-DMP	P-0007771-T01-IM5	LOC284100-DOT1L fusion	yes	unknown	NA	unknown	DOT1L (NM_032482) rearrangement: t(17;19)(q12;p12)(chr17:g.36167655::chr19:g.2228256 ) The DOT1L (NM_032482) rearrangement is a translocation which may result in a truncated  DOT1L. The functional significance is undetermined.	
PDE3A	0	MSKCC-DMP	P-0009501-T01-IM5	PDE3A-intragenic	yes	unknown	NA	unknown	PDE3A (NM_000921) rearrangement: chr12:g.20290558_c.1760+1670inv Note: The PDE3A (NM_000921) rearrangement results in the inversion of PDE3A upstream promoter region and exons 1-6. The functional significance of this rearrangement is undetermined.	
MLL3	0	MSKCC-DMP	P-0009833-T01-IM5	MLL3-intragenic	yes	unknown	NA	unknown	MLL3 (NM_170606) rearrangement: chr7:g.151824753_c.12981:MLL3del Note: The MLL3 (NM_170606) rearrangement results in the deletion of upstream promoter region, transcription start site, and exons 1-52 of MLL3. One of the breakpoints is within exon 52. The functional significance is undetermined.	
SMO	0	MSKCC-DMP	P-0004996-T02-IM5	MKRN1-SMO fusion	yes	unknown	NA	unknown	SMO (NM_005631) - MKRN1 (NM_013446) rearrangement : c.740:SMO_c.315-4269:MKRN1del Note: The SMO (NM_005631) - MKRN1 (NM_013446) rearrangement event results in the deletion of SMO exons 3-12. One of the breakpoints is within SMO exon3.	
MKRN1	0	MSKCC-DMP	P-0004996-T02-IM5	MKRN1-SMO fusion	yes	unknown	NA	unknown	SMO (NM_005631) - MKRN1 (NM_013446) rearrangement : c.740:SMO_c.315-4269:MKRN1del Note: The SMO (NM_005631) - MKRN1 (NM_013446) rearrangement event results in the deletion of SMO exons 3-12. One of the breakpoints is within SMO exon3.	
EGFR	0	MSKCC-DMP	P-0005963-T01-IM5	EGFR-intragenic	yes	unknown	NA	in frame	EGFR (NM_005228) vIII intragenic deletion: c.89-32221_889+711del	
CAMTA1	0	MSKCC-DMP	P-0008939-T01-IM5	PIK3CD-CAMTA1 fusion	yes	unknown	NA	unknown	CAMTA1 (NM_015215) -PIK3CD (NM_005026) Rearrangement : c.234+121845:CAMTA1_c.1031:PIK3CDdel Note: The CAMTA1 (NM_015215) -PIK3CD (NM_005026) Rearrangement  results in the fusion of exons 1-2 of CAMTA1 with exons 9 to 24 of PIK3CD. The breakpoint in PIK3CD is within exon 9 .Its functional signficance is undetermined.	
PIK3CD	0	MSKCC-DMP	P-0008939-T01-IM5	PIK3CD-CAMTA1 fusion	yes	unknown	NA	unknown	CAMTA1 (NM_015215) -PIK3CD (NM_005026) Rearrangement : c.234+121845:CAMTA1_c.1031:PIK3CDdel Note: The CAMTA1 (NM_015215) -PIK3CD (NM_005026) Rearrangement  results in the fusion of exons 1-2 of CAMTA1 with exons 9 to 24 of PIK3CD. The breakpoint in PIK3CD is within exon 9 .Its functional signficance is undetermined.	
PNPLA6	0	MSKCC-DMP	P-0005493-T01-IM5	POLD1-PNPLA6 fusion	yes	unknown	NA	unknown	PNPLA6 (NM_001166111) - POLD1 (NM_002691) rearrangement: c.1323:PNPLA6_c.2155-56:POLD1del The PNPLA6 (NM_001166111) - POLD1 (NM_002691) rearrangement is a deletion which results in the fusion of PNPLA6 exons 1-11 with POLD1 exons 18-27. The breakpoints in PNPLA6 exon 11 and POLD1 exon 18 are within exon.  The functional significance is undetermined.	
POLD1	0	MSKCC-DMP	P-0005493-T01-IM5	POLD1-PNPLA6 fusion	yes	unknown	NA	unknown	PNPLA6 (NM_001166111) - POLD1 (NM_002691) rearrangement: c.1323:PNPLA6_c.2155-56:POLD1del The PNPLA6 (NM_001166111) - POLD1 (NM_002691) rearrangement is a deletion which results in the fusion of PNPLA6 exons 1-11 with POLD1 exons 18-27. The breakpoints in PNPLA6 exon 11 and POLD1 exon 18 are within exon.  The functional significance is undetermined.	
SMARCA4	0	MSKCC-DMP	P-0005493-T01-IM5	GCDH-SMARCA4 fusion	yes	unknown	NA	unknown	SMARCA4 (NM_003072) rearrangement (1871506 bp): c.2758:SMARCA4_c.335-249:GCDHinv The SMARCA4 (NM_003072) rearrangement is an inversion of exons 19-35 of SMARCA4 that potentially inactivates SMARCA4. One of the breakpoints is within exon 19 of SMARCA4. The functional significance is undetermined.	
GCDH	0	MSKCC-DMP	P-0005493-T01-IM5	GCDH-SMARCA4 fusion	yes	unknown	NA	unknown	SMARCA4 (NM_003072) rearrangement (1871506 bp): c.2758:SMARCA4_c.335-249:GCDHinv The SMARCA4 (NM_003072) rearrangement is an inversion of exons 19-35 of SMARCA4 that potentially inactivates SMARCA4. One of the breakpoints is within exon 19 of SMARCA4. The functional significance is undetermined.	
CIC	0	MSKCC-DMP	P-0005493-T01-IM5	POLD1-CIC fusion	yes	unknown	NA	unknown	CIC (NM_015125) - POLD1 (NM_002691)  rearrangement (8120964 bp): c.2155-838:POLD1_c.1961:CICinv The CIC (NM_015125) - POLD1 (NM_002691) rearrangement is an inversion spanning CIC exons 10-20 through POLD1 exons 1-17. One of the breakpoints is within exon 10 of CIC. The functional significance is undetermined.	
POLD1	0	MSKCC-DMP	P-0005493-T01-IM5	POLD1-CIC fusion	yes	unknown	NA	unknown	CIC (NM_015125) - POLD1 (NM_002691)  rearrangement (8120964 bp): c.2155-838:POLD1_c.1961:CICinv The CIC (NM_015125) - POLD1 (NM_002691) rearrangement is an inversion spanning CIC exons 10-20 through POLD1 exons 1-17. One of the breakpoints is within exon 10 of CIC. The functional significance is undetermined.	
LATS2	0	MSKCC-DMP	P-0006535-T01-IM5	LATS2-intragenic	yes	unknown	NA	unknown	LATS2 (NM_014572) Rearrangement : c.342+16433_c.2162dup Note: The LATS2 (NM_014572) rearrangement results in the intragenic duplication of exons 3 to 5 of LATS2. One of the breakpoints is within exon5. Its functional significance is undetermined.	
PTCH1	0	MSKCC-DMP	P-0008942-T01-IM5	STRN-PTCH1 fusion	yes	unknown	NA	unknown	PTCH1 (NM_000264) - STRN (NM_003162) Rearrangement : t(2;9)(2p25.1;9q22.32)(chr2:g.7116407::chr9:g.98215861) Note: The PTCH1 (NM_000264) - STRN (NM_003162) Rearrangement  results in the fusion of PTCH1 exons 1 to 20 of PTCH1 with exons 8 to 18 of STRN. Its functional significance is undetermined.	
STRN	0	MSKCC-DMP	P-0008942-T01-IM5	STRN-PTCH1 fusion	yes	unknown	NA	unknown	PTCH1 (NM_000264) - STRN (NM_003162) Rearrangement : t(2;9)(2p25.1;9q22.32)(chr2:g.7116407::chr9:g.98215861) Note: The PTCH1 (NM_000264) - STRN (NM_003162) Rearrangement  results in the fusion of PTCH1 exons 1 to 20 of PTCH1 with exons 8 to 18 of STRN. Its functional significance is undetermined.	
AKT2	0	MSKCC-DMP	P-0009563-T01-IM5	C19orf47-AKT2 fusion	yes	unknown	NA	unknown	C19orf47 (NM_001256441) - AKT2 (NM_001626) Rearrangement : c.19+973:NM_001256441_c.832-15AKT2del Note: The C19orf47 (NM_001256441) - AKT2 (NM_001626) Rearrangement results in the fusion of exons 1-2 of C19orf47 with exons 10-14 of AKT2. Its functional significance is undetermined.	
C19orf47	0	MSKCC-DMP	P-0009563-T01-IM5	C19orf47-AKT2 fusion	yes	unknown	NA	unknown	C19orf47 (NM_001256441) - AKT2 (NM_001626) Rearrangement : c.19+973:NM_001256441_c.832-15AKT2del Note: The C19orf47 (NM_001256441) - AKT2 (NM_001626) Rearrangement results in the fusion of exons 1-2 of C19orf47 with exons 10-14 of AKT2. Its functional significance is undetermined.	
DDR2	0	MSKCC-DMP	P-0008340-T01-IM5	FAM5C-DDR2 fusion	yes	unknown	NA	unknown	DDR2 (NM_006182) - FAM5C (NM_199051) Rearrangement : c.2456:DDR2_c.618+14900:FAM5Cdup Note: The DDR2 (NM_006182) - FAM5C (NM_199051) Rearrangement results in the duplication of exon18 of DDR2 and exons 5 to 8 of FAM5C. The breakpoint in DDR2 is within exon18. Its functional significance is undetermined.	
FAM5C	0	MSKCC-DMP	P-0008340-T01-IM5	FAM5C-DDR2 fusion	yes	unknown	NA	unknown	DDR2 (NM_006182) - FAM5C (NM_199051) Rearrangement : c.2456:DDR2_c.618+14900:FAM5Cdup Note: The DDR2 (NM_006182) - FAM5C (NM_199051) Rearrangement results in the duplication of exon18 of DDR2 and exons 5 to 8 of FAM5C. The breakpoint in DDR2 is within exon18. Its functional significance is undetermined.	
TP53	0	MSKCC-DMP	P-0005309-T01-IM5	TP53-intragenic	yes	unknown	NA	unknown	TP53 (NM_000546) rearrangement: c.994-471_1088inv The TP53 (NM_000546) rearrangement is an intragenic  inversion of exon 10. One of the breakpoints is within exon 10. The functional significance is undetermined.	
EGFR	0	MSKCC-DMP	P-0006416-T01-IM5	EGFR-intragenic	yes	unknown	NA	unknown	EGFR (NM_005228) vIII intragenic deletion :  c.88+15717_836del	
TRAF7	0	MSKCC-DMP	P-0004778-T01-IM5	TRAF7-intragenic	yes	unknown	NA	unknown	TRAF7(NM_032271) Rearrangement : c.1747-2_*31del Note: The TRAF7(NM_032271) Rearrangement results in the intragenic deletion of exons 19-21.The breakpoint is within the 3-UTR region .Its functional significance is undetermined.	
TP63	0	MSKCC-DMP	P-0008798-T01-IM5	TP63-intragenic	yes	unknown	NA	unknown	TP63 (NM_003722) rearrangement : c.1212+1550_1611dup Note: The TP63 (NM_003722) rearrangement event is a duplication which results in the intragenic duplication of TP63 exons 10-12. One of the breakpoints is within TP63 exon12.	
SLC12A6	0	MSKCC-DMP	P-0004815-T01-IM5	MDM2-SLC12A6 fusion	yes	unknown	NA	unknown	SLC12A6 (NM_133647) - MDM2 (NM_002392) rearrangement: t(15;12)(q14;q15)(chr15:g.34539975::chr12:g.69233428) The SLC12A6 (NM_133647) - MDM2 (NM_002392) rearrangement is a translocation which results in the fusion of exons 1-12 of SLC12A6 with exon 11 of  MDM2. One of the breakpoints is within exon 11 of MDM2. The functional significance is undetermined.	
MDM2	0	MSKCC-DMP	P-0004815-T01-IM5	MDM2-SLC12A6 fusion	yes	unknown	NA	unknown	SLC12A6 (NM_133647) - MDM2 (NM_002392) rearrangement: t(15;12)(q14;q15)(chr15:g.34539975::chr12:g.69233428) The SLC12A6 (NM_133647) - MDM2 (NM_002392) rearrangement is a translocation which results in the fusion of exons 1-12 of SLC12A6 with exon 11 of  MDM2. One of the breakpoints is within exon 11 of MDM2. The functional significance is undetermined.	
TP63	0	MSKCC-DMP	P-0004815-T01-IM5	SPEN-TP63 fusion	yes	unknown	NA	unknown	TP63 (NM_00372 ) - SPEN (NM_015001) rearrangement: t(3;1)(q28;p36.13)(chr3:g.189533530::chr1:g.16247389) The TP63 (NM_00372 ) - SPEN (NM_015001) rearrangement is a translocation which results in the fusion of exons 1-4 of TP63 with exons 9-15 of SPEN. One of the breakpoints is within exon 9 of SPEN. The functional  significance is undetermined.	
SPEN	0	MSKCC-DMP	P-0004815-T01-IM5	SPEN-TP63 fusion	yes	unknown	NA	unknown	TP63 (NM_00372 ) - SPEN (NM_015001) rearrangement: t(3;1)(q28;p36.13)(chr3:g.189533530::chr1:g.16247389) The TP63 (NM_00372 ) - SPEN (NM_015001) rearrangement is a translocation which results in the fusion of exons 1-4 of TP63 with exons 9-15 of SPEN. One of the breakpoints is within exon 9 of SPEN. The functional  significance is undetermined.	
STAT5A	0	MSKCC-DMP	P-0006077-T01-IM5	STAT5A-intragenic	yes	unknown	NA	unknown	STAT5A (NM_003152) rearrangement : c.1032_1906+85inv Note: The STAT5A (NM_003152) rearrangement event results in the intragenic inversion of STAT5A exons 10-16. One of the breakpoints is within STAT5A exon10.	
NOTCH1	0	MSKCC-DMP	P-0006077-T01-IM5	NOTCH1-intragenic	yes	unknown	NA	in frame	NOTCH1 (NM_017617) rearrangement : c.403+121_742+321del Note: The NOTCH1 (NM_017617) rearrangement event results in the intragenic deletion of NOTCH1 exon4.	
MUC16	0	MSKCC-DMP	P-0009648-T01-IM5	RARA-MUC16 fusion	yes	unknown	NA	unknown	RARA (NM_000964) - MUC16 (NM_024690) rearrangement: t(17;19)(q21.2;p13.2)(chr17:g.38512460::chr19:g.9019793) Note: The RARA (NM_000964) - MUC16 (NM_024690) rearrangement is a translocation that results in the fusion of RARA exons 1-9 with MUC16 exons 22-84. One of the breakpoints is within RARA exon 9. The functional significance of this rearrangement is undetermined.	
RARA	0	MSKCC-DMP	P-0009648-T01-IM5	RARA-MUC16 fusion	yes	unknown	NA	unknown	RARA (NM_000964) - MUC16 (NM_024690) rearrangement: t(17;19)(q21.2;p13.2)(chr17:g.38512460::chr19:g.9019793) Note: The RARA (NM_000964) - MUC16 (NM_024690) rearrangement is a translocation that results in the fusion of RARA exons 1-9 with MUC16 exons 22-84. One of the breakpoints is within RARA exon 9. The functional significance of this rearrangement is undetermined.	
ALK	0	MSKCC-DMP	P-0008322-T01-IM5	LOC1720-ALK fusion	yes	unknown	NA	unknown	ALK (NM_004304) rearrangement : c.3173-908:ALK_chr2:g.82835552inv Note: The ALK (NM_004304) rearrangement event results in the inversion of ALK exons 19-29. A fusion partner for this event was not found on IMPACT. Please perform additional testing if identification of fusion partner is clinically indicative.	
LOC1720	0	MSKCC-DMP	P-0008322-T01-IM5	LOC1720-ALK fusion	yes	unknown	NA	unknown	ALK (NM_004304) rearrangement : c.3173-908:ALK_chr2:g.82835552inv Note: The ALK (NM_004304) rearrangement event results in the inversion of ALK exons 19-29. A fusion partner for this event was not found on IMPACT. Please perform additional testing if identification of fusion partner is clinically indicative.	
ALK	0	MSKCC-DMP	P-0003913-T01-IM3	EML4-ALK fusion	yes	unknown	NA	in frame	null	
EML4	0	MSKCC-DMP	P-0003913-T01-IM3	EML4-ALK fusion	yes	unknown	NA	in frame	null	
DIS3	0	MSKCC-DMP	P-0005711-T01-IM5	DAOA-DIS3 fusion	yes	unknown	NA	unknown	DIS3 (NM_014953) rearrangement (31899083 bp) : c.2838_chr13:g.105233055inv The DIS3 (NM_014953) rearrangement is an inversion of DIS3 exons1-21. The functional significance is undetermined.	
DAOA	0	MSKCC-DMP	P-0005711-T01-IM5	DAOA-DIS3 fusion	yes	unknown	NA	unknown	DIS3 (NM_014953) rearrangement (31899083 bp) : c.2838_chr13:g.105233055inv The DIS3 (NM_014953) rearrangement is an inversion of DIS3 exons1-21. The functional significance is undetermined.	
NUP93	0	MSKCC-DMP	P-0009100-T01-IM5	NUP93-intragenic	yes	unknown	NA	unknown	NUP93 (NM_014669) rearrangement: c.1251+106_c.1900del Note: The NUP93 (NM_014669) rearrangement results in the deletion of NUP93 exons 12-18. One of the breakpoints is within NUP93 exon 18. The functional significance of this rearrangement is undetermined.	
HIST1H3G	0	MSKCC-DMP	P-0006414-T01-IM5	HIST1H3G-intragenic	yes	unknown	NA	unknown	HIST1H3G (NM_003534) Rearrangement :  chr6:g.26269952_c.187del Note:The HIST1H3G (NM_003534) rearrangement results in the partial deletion of exon 1. The breakpoint is within exon1 .Its functional significance is undetermined.	
SMARCA4	0	MSKCC-DMP	P-0005239-T01-IM5	SMARCA4-intragenic	yes	unknown	NA	out of frame	SMARCA4 (NM_003072)  Rearrangement :  c.3215+111_4170+3070del Note: The SMARCA4 (NM_003072)  results in the intragenic deletion of exon23 to exon29.  Its functional significance is undetermined.	
BRMS1L	0	MSKCC-DMP	P-0004605-T01-IM5	RB1-BRMS1L fusion	yes	unknown	NA	unknown	RB1(NM_000321) - BRMS1L (NM_032352)   Rearrangement : t(14;13)(14q13.2;13q14.2)(chr14:g.36312640::chr13:g.48877982)   Note: The RB1(NM_000321) - BRMS1L (NM_032352)   Rearrangement is a translocation that results in the fusion of the upstream/UTR region of RB1 with exons 5 to 10 of BRMS1L to .Its functional significance is undetermined.	
RB1	0	MSKCC-DMP	P-0004605-T01-IM5	RB1-BRMS1L fusion	yes	unknown	NA	unknown	RB1(NM_000321) - BRMS1L (NM_032352)   Rearrangement : t(14;13)(14q13.2;13q14.2)(chr14:g.36312640::chr13:g.48877982)   Note: The RB1(NM_000321) - BRMS1L (NM_032352)   Rearrangement is a translocation that results in the fusion of the upstream/UTR region of RB1 with exons 5 to 10 of BRMS1L to .Its functional significance is undetermined.	
KIF5B	0	MSKCC-DMP	P-0000208-T01-IM3	RET-KIF5B fusion	yes	unknown	NA	in frame	RET (NM_020975) Inversion (c.2137-385_KIF5B:c.1726-1971inv)	
RET	0	MSKCC-DMP	P-0000208-T01-IM3	RET-KIF5B fusion	yes	unknown	NA	in frame	RET (NM_020975) Inversion (c.2137-385_KIF5B:c.1726-1971inv)	
TET1	0	MSKCC-DMP	P-0002165-T01-IM3	TET1-intragenic	yes	unknown	NA	unknown	null	
CXorf26	0	MSKCC-DMP	P-0002890-T01-IM3	FGFR3-CXorf26 fusion	yes	unknown	NA	unknown	null Note: EGFR translocation is a structural rearrangement that involves exon5 of EGFR and an intergenic region on Chromosome X. Its functional significance is not determined.	
FGFR3	0	MSKCC-DMP	P-0002890-T01-IM3	FGFR3-CXorf26 fusion	yes	unknown	NA	unknown	null Note: EGFR translocation is a structural rearrangement that involves exon5 of EGFR and an intergenic region on Chromosome X. Its functional significance is not determined.	
APC	0	MSKCC-DMP	P-0001867-T01-IM3	APC-intragenic	yes	unknown	NA	unknown	null	
TACC3	0	MSKCC-DMP	P-0002351-T01-IM3	FGFR3-TACC3 fusion	yes	unknown	NA	unknown	FGFR3 (NM_000142)  and TACC3 (NM_006342) duplication (71843bp): FGFR3:c.2303_TACC3:c.1620dup Note: The FGFR3-TACC3 duplication is a rearrangement event which results in the fusion of FGFR3 exons 1 to 18 and TACC3 exons 7 to 16.	
FGFR3	0	MSKCC-DMP	P-0002351-T01-IM3	FGFR3-TACC3 fusion	yes	unknown	NA	unknown	FGFR3 (NM_000142)  and TACC3 (NM_006342) duplication (71843bp): FGFR3:c.2303_TACC3:c.1620dup Note: The FGFR3-TACC3 duplication is a rearrangement event which results in the fusion of FGFR3 exons 1 to 18 and TACC3 exons 7 to 16.	
TTC28	0	MSKCC-DMP	P-0006826-T01-IM5	FBXW7-TTC28 fusion	yes	unknown	NA	out of frame	TTC28 (NM_001145418) - FBXW7 (NM_033632) rearrangement : t(4;22)(q31.3;q12.1)(chr4:g.153244355::chr22:g.29066046) Note: The TTC28 (NM_001145418) - FBXW7 (NM_033632) rearrangement event is a translocation which results in the fusion of TTC28 exon1 with FBXW7 exon12. The resulting transcript is predicated to be out of frame.	
FBXW7	0	MSKCC-DMP	P-0006826-T01-IM5	FBXW7-TTC28 fusion	yes	unknown	NA	out of frame	TTC28 (NM_001145418) - FBXW7 (NM_033632) rearrangement : t(4;22)(q31.3;q12.1)(chr4:g.153244355::chr22:g.29066046) Note: The TTC28 (NM_001145418) - FBXW7 (NM_033632) rearrangement event is a translocation which results in the fusion of TTC28 exon1 with FBXW7 exon12. The resulting transcript is predicated to be out of frame.	
ROS1	0	MSKCC-DMP	P-0006047-T02-IM5	EZR-ROS1 fusion	yes	unknown	NA	in frame	EZR (NM_003379) - ROS1 (NM_002944) fusion (EZR exons 1-9 with ROS1 exons 34-43): c.1091-355:EZR_c.5557+146:ROS1del Note: The EZR (NM_003379) - ROS1 (NM_002944) fusion is predicted to be in frame and includes the kinase domain of ROS1	
EZR	0	MSKCC-DMP	P-0006047-T02-IM5	EZR-ROS1 fusion	yes	unknown	NA	in frame	EZR (NM_003379) - ROS1 (NM_002944) fusion (EZR exons 1-9 with ROS1 exons 34-43): c.1091-355:EZR_c.5557+146:ROS1del Note: The EZR (NM_003379) - ROS1 (NM_002944) fusion is predicted to be in frame and includes the kinase domain of ROS1	
EED	0	MSKCC-DMP	P-0008382-T01-IM5	CNTN5-EED fusion	yes	unknown	NA	unknown	EED (NM_003797) rearrangement : c.54:EED_chr11:g.98018879del Note: The EED (NM_003797) rearrangement event results in the deletion of EED exons 1-12. One of the breakpoints is within EED exon1.	
CNTN5	0	MSKCC-DMP	P-0008382-T01-IM5	CNTN5-EED fusion	yes	unknown	NA	unknown	EED (NM_003797) rearrangement : c.54:EED_chr11:g.98018879del Note: The EED (NM_003797) rearrangement event results in the deletion of EED exons 1-12. One of the breakpoints is within EED exon1.	
